STOCKNAME,MC,CPER,CPBR,PER,PBR,ROE,P1,P5,P20,P60,F1,F5,F20,F60,I1,I5,I20,I60
NAVER,234.0,38.16,4.43,33.32,3.87,11.61,0.01068,0.00709,0.17355,0.19328,-0.00021,0,0.00985,0.0118,0.00129,0.00365,0.00557,0.00605
카카오,107.3,166.67,2.08,140.24,1.67,1.19,0.01581,-0.01908,-0.03745,0.01581,-0.00047,0.00291,0.01615,0.0179,0.0015,0.00095,-0.00087,0.03162
NICE평가정보,9.2,23.45,4.64,19.72,3.9,19.78,-0.03514,0.00667,-0.06502,0.01342,0.00327,0.00825,0.018,0.01348,-0.00006,-0.00173,-0.00954,-0.01629
NICE,8.1,13.17,1.24,12.3,1.16,9.4,-0.01613,-0.00698,-0.01157,-0.03829,-0.00013,0.00057,0.0036,0.00115,0.00032,0.00113,0.0001,0.00176
아프리카TV,6.7,28.10,7.00,26.64,6.6,24.78,-0.03333,-0.03172,-0.06602,-0.14328,0.00171,0.0159,0.01674,0.02089,-0.00423,-0.01987,-0.01513,-0.02068
카페24,6.0,-1.00,5.37,-1,9.19,-27.28,-0.00158,0.01939,0.01939,-0.33157,0.00219,0.0185,0.05566,-0.1455,-0.00038,-0.00332,-0.0264,-0.00265
NHN한국사이버결제,4.1,23.74,3.51,16.58,2.43,14.67,0.00562,0.01705,-0.13317,0.32593,0.00186,-0.00862,-0.01406,0.03632,-0.00095,0.01298,0.04054,0.18071
아이마켓코리아,4.1,28.36,1.13,23.9,0.95,3.98,-0.01724,-0.02979,-0.0339,0.12315,0.00024,0.00096,0.00279,0.01078,0.00123,0.00168,0.00372,0.05199
KG이니시스,3.6,9.92,1.64,10.19,1.69,16.58,0.01581,0.04898,-0.17628,-0.1014,-0.00194,-0.01206,0.00034,-0.01806,0.00188,0.0109,-0.02061,0.05636
한국정보통신,3.4,14.91,1.79,15.47,1.86,12.02,-0.00341,-0.0135,-0.01127,-0.0135,0.00022,0.00019,0.00482,0.01474,0.00125,0.00505,0.00723,0.00324
웹케시,3.1,33.37,5.83,-1,-1,15.71,-0.0011,-0.00768,-0.1682,-0.26542,0.00024,-0.00275,0.00772,-0.0002,0.00348,0.00929,0.01045,0.02251
나이스정보통신,3.0,10.72,1.46,7.65,1.04,13.59,0.01342,0.00166,0.23265,0.41784,0.00435,0.00861,0.00446,0.01031,-0.00293,0.0006,0.03053,0.03888
사람인에이치알,2.7,14.19,3.03,12.69,2.71,21.36,0.0064,0.01071,-0.05788,0.02832,0.00074,0.00285,0.00889,0.02565,-0.00115,-0.0008,-0.00077,-0.01303
한국전자금융,2.6,13.46,1.67,17.7,2.2,12.43,-0.04574,-0.09409,-0.10702,-0.21689,-0.00067,0.00607,0.03062,0.04669,-0.00145,-0.00537,-0.00894,-0.03055
